Date,Long Iram,Barong Tongkok,Kembang Janggut,Karang Tunggal,Damai,Muara Ancalong,Muara Kaman,Panyinggahan,Sumber Sari,Tj. Issuy,Tenggarong,Muara Wahau
01-Jan-08,-,0,1.5,40.01,1.6,0,27.4,0,35.2,13.4,8.7,0
02-Jan-08,-,1.5,3.1,10,3.5,0,0,41.8,0.5,0,0,0
03-Jan-08,-,0,2.3,0.8,0,0,0,13,0.6,0,0,0
04-Jan-08,-,0,1.7,0,24.5,0,0,13,0,0,0,15.2
05-Jan-08,-,0,3.4,0,0,0,34.7,1,1.5,2.6,0,0
06-Jan-08,-,0,1.1,0,0,0,26.3,29,0,0,42.7,0
07-Jan-08,-,0,0,10.1,12.5,0,0,0,0.9,0,0,0
08-Jan-08,-,0,0,0,13.8,0,0,0.5,0,3.3,30.6,0
09-Jan-08,-,3,4.2,33,0,32.2,46.5,0.5,0,0,0,33.6
10-Jan-08,-,0,3.1,0,0,0,52.4,0,0,3.8,10.3,0.6
11-Jan-08,-,0,0,0.5,50.3,0,37.5,0,0.5,15.2,0,0
12-Jan-08,-,0,0,0,0,17.2,0,0,0,26.8,0,16.5
13-Jan-08,-,0,0,13,0,0,0,6,12.2,0,0,0
14-Jan-08,-,20.5,0,0,26.5,0,0,0,0,0,0,0
15-Jan-08,-,0,0,0,12.5,0,0,0,0,11.4,0,0
16-Jan-08,-,0,0,0,0,10.3,56.7,0.5,0,12.2,44.9,30.2
17-Jan-08,-,0,2.1,0,1.5,0,0,0,0,0,4.4,0
18-Jan-08,-,19,1.5,0,0,0,45.6,0,0,42.5,0,0
19-Jan-08,-,20,2.4,0,11.5,0,0,0,2.5,54.2,0,0
20-Jan-08,-,0,0,0.5,0,0,0,19,0.5,0,54.2,0
21-Jan-08,-,10,1.2,25,0,0,63.5,0,21.2,0,0,0
22-Jan-08,-,9,4.7,37,0,0,0,0.5,0,0,0,0
23-Jan-08,-,34.2,3.7,0,1.5,0,0,0.5,25.2,0,0,30.6
24-Jan-08,-,0,0,0,0,0,0,23,0,0,36.2,15.2
25-Jan-08,-,0,0,0,0,34.1,0,0,0,11.2,0,22.5
26-Jan-08,-,0,0,0,0,0,35.8,11,0,0,60.8,0
27-Jan-08,-,0,0,0.7,31.6,0,26.6,0,0.6,3.4,44.3,0
28-Jan-08,-,0,0,0,0,12.5,0,0,0,48.5,0,10.2
29-Jan-08,-,23,0,0,0,0,0,0,0,33.9,0,0
30-Jan-08,-,29.6,1.7,0,1.5,0,0,0,0,3.5,73.8,0
31-Jan-08,-,0,3.2,0,22.5,0,0,0.5,0,12.1,28.4,33.6
01-Feb-08,-,5,2.7,0,0,0,0,0,0,0,41.3,0
02-Feb-08,-,3,1.4,0,0,0,0,0,0,45.1,0,0
03-Feb-08,-,0,3.6,0,2.1,20.5,47.5,8.5,2.6,0,0,30.6
04-Feb-08,-,24,5.2,0,1.5,0,0,0,0,11.3,0,15.2
05-Feb-08,-,0,2.7,0,0,0,53.4,0,0,0,63.4,0
06-Feb-08,-,0,3.5,0.8,0,0,0,0,0.9,5.4,55.7,0
07-Feb-08,-,12,6.3,0,90.6,0,0,0,0,0.6,0,0
08-Feb-08,-,0,7.5,0,0,100.3,36.7,97,0,52.4,0,90.2
